buy_thresh,sell_thresh,alloc_buy,alloc_sell,equity,ratio_bh,trades,fees,sharpe
0.1,0.85,100,70,20.033597241547817,0.03261400710354359,606,2.3531458085513353,0.915824606591743
0.15,0.85,100,70,19.244448245600676,0.03132929968683475,587,2.264985179108419,0.9124505110746183
0.1,0.8,100,70,19.17109210947208,0.03120987842085138,662,2.5212201284527764,0.9106237540130178
0.15,0.8,100,70,18.415918292858453,0.029980481427266614,643,2.4368550727365714,0.9072498789061534
0.2,0.85,100,70,18.32890508762596,0.029838826922619327,540,2.0878123728669107,0.9092182560897103
0.1,0.75,100,70,18.17199524794231,0.029583383101704067,753,2.719664506883977,0.9041350194904206
0.2,0.8,100,70,17.5397919517149,0.02855417788481555,596,2.263882077908811,0.904030035189575
0.15,0.75,100,70,17.456177133433687,0.028418055837211968,734,2.6396961157869585,0.9007587404230897
0.1,0.7,100,70,17.407235104694955,0.028338379898153132,834,2.9178455084583215,0.8983965625636939
0.25,0.85,100,70,16.914614038007034,0.027536409748978176,511,1.9063226212274011,0.9022386540623973
0.15,0.7,100,70,16.721541869503188,0.02722209490081791,815,2.8412425506775763,0.8950112119862906
0.2,0.75,100,70,16.625709903282512,0.027066083756669232,687,2.4715446257299813,0.8975503480981257
0.25,0.8,100,70,16.18639027331024,0.026350886512765032,567,2.078891081664108,0.8970498340451589
0.2,0.7,100,70,15.926024471368837,0.0259270199444372,768,2.6762462653632544,0.8918023240336436
0.3,0.85,100,70,15.515760006683879,0.025259123510050614,491,1.7820500031448931,0.8940992722513396
0.25,0.75,100,70,15.34284041742747,0.024977616367606204,658,2.2823366434752534,0.8905642066650191
0.3,0.8,100,70,14.84776097446386,0.024171644066428702,547,1.9503273149664428,0.8888987400638176
0.25,0.7,100,70,14.697143951735892,0.023926444735028696,739,2.481821596567592,0.884797485575713
0.3,0.75,100,70,14.073973408470662,0.02291194452921338,638,2.1486622708984093,0.882393821184763
0.1,0.85,100,80,13.938415587333363,0.022691261059928903,604,1.40768242943819,0.88540085996687
0.15,0.85,100,80,13.555272202981078,0.02206751681129112,585,1.3604768002362562,0.883169016044964
0.1,0.8,100,80,13.548066955274871,0.022055786915903902,660,1.535829518717514,0.8819894077576407
0.3,0.7,100,70,13.481676574011493,0.021947705659201774,719,2.3425101919936546,0.8765980793309619
0.15,0.8,100,80,13.175653592209951,0.021449510772782465,641,1.4899458943495576,0.879757600983157
0.1,0.75,100,80,13.090861227524838,0.021311471720143867,751,1.6894371719388255,0.877740799303433
0.2,0.85,100,80,13.087621041791719,0.021306196809240816,538,1.2658551270508942,0.8810026382771875
0.1,0.7,100,80,12.743492630375757,0.020745967594331022,832,1.8393443959642166,0.8739968399852878
0.15,0.75,100,80,12.731015673819439,0.02072565553829575,732,1.6451019792357122,0.8755078066313151
0.2,0.8,100,80,12.721098019066522,0.020709509937550056,594,1.3963721290764508,0.8775966684142932
0.15,0.7,100,80,12.39319564975569,0.020175696160971104,813,1.7961856463862687,0.8717596283315722
0.25,0.85,100,80,12.381907795368582,0.02015731992235923,509,1.1768413817603338,0.8763595737623308
0.2,0.75,100,80,12.29179832586459,0.02001062480599716,685,1.5527246069124507,0.8733517494708317
0.25,0.8,100,80,12.035144526174717,0.019592801249632686,565,1.3049262268424189,0.8729531315937398
0.2,0.7,100,80,11.965631230513045,0.019479635995726177,766,1.7044248036780776,0.8696029104321987
0.15,0.9,100,70,11.892540448041254,0.019360646716367263,206,0.24852394099342895,0.8701064421474077
0.1,0.9,100,70,11.892540448041254,0.019360646716367263,206,0.24852394099342895,0.8701064421474077
0.2,0.9,100,70,11.754957549215055,0.019136666490272975,186,0.2384127093228967,0.8697787014684778
0.3,0.85,100,80,11.678201966449485,0.019011711042114052,490,1.1172808930547362,0.8709326375427636
0.25,0.75,100,80,11.62898782077591,0.018931592106046793,656,1.4583245700876097,0.8687051861018695
0.1,0.85,100,85,11.494832754604916,0.01871319227358919,604,1.0055186110203487,0.8699900901869548
0.3,0.8,100,80,11.351171016279714,0.01847931590591776,546,1.242872045863295,0.8675208247479221
0.25,0.7,100,80,11.320402125830947,0.018429225210793716,737,1.6067858954645375,0.8649474187135789
0.1,0.8,100,85,11.256484631905488,0.01832516972960423,660,1.1043301205802325,0.867451228611819
0.15,0.85,100,85,11.252447162918983,0.0183185968689932,585,0.9743320584816494,0.8683258893287205
0.25,0.9,100,70,11.243916305456635,0.018304708926527264,182,0.23379444310761263,0.8660007790978888
0.15,0.8,100,85,11.01912496377852,0.017938756355657934,641,1.0737902287115715,0.865787039126774
0.1,0.75,100,85,10.975926664816697,0.017868431011077282,751,1.2235916026595286,0.8642917796473504
0.3,0.75,100,80,10.968133435047656,0.017855743901119818,637,1.3932608366261756,0.8632641292965422
0.2,0.85,100,85,10.949252265828726,0.017825006007190697,538,0.9121798141128478,0.8667027628147027
0.3,0.9,100,70,10.800630813317092,0.017583055395450294,181,0.23381358406862823,0.8621248845899872
0.1,0.7,100,85,10.763910456836951,0.017523275918372445,832,1.339113622050324,0.8615113976460993
0.15,0.75,100,85,10.744482977400958,0.01749164865020438,732,1.1938128907025338,0.8626269030687083
0.2,0.8,100,85,10.72221614928611,0.017455399020067815,594,1.012019156638608,0.8641669636236223
0.3,0.7,100,80,10.677124366698731,0.017381991149285313,718,1.5385833812972165,0.8594933054407028
0.15,0.7,100,85,10.536937445516743,0.017153771664380663,813,1.3099101298246958,0.8598441163860034
0.25,0.85,100,85,10.496083092910917,0.01708726218382997,509,0.8566570581606877,0.8632299321352574
