zones,allocs,equity,ratio_bh,trades,fees
"[0.25, 0.45, 0.65, 0.85]","[100, 96, 90, 85, 80]",18.114959182731926,0.029490530349724417,2149,17.19634865550036
"[0.2, 0.4, 0.6, 0.8]","[100, 97, 93, 88, 82]",13.333679501572995,0.021706771516740202,2433,6.884301294126808
"[0.15, 0.35, 0.65, 0.85]","[100, 98, 95, 90, 85]",10.899177593973038,0.017743486164103206,2559,4.490575803169317
"[0.1, 0.3, 0.7, 0.9]","[100, 98, 95, 88, 75]",10.078242880078017,0.016407032692083164,2634,3.4266231397175293
