buy_threshold,sell_threshold,alloc_min,alloc_max,use_fng_filter,fng_threshold,equity,ratio,cagr,max_dd,sharpe,trades
0.3,0.85,25,95,True,50.0,2.2660210689037603,0.36890043434005354,0.10884023333690429,-0.7141762417329371,0.6085721952091494,1780
0.3,0.9,20,95,False,,2.2580908953427086,0.36760942936608865,0.10834938463845223,-0.722647524143256,0.6464773238820153,1833
0.3,0.8,30,95,False,,2.255046336154744,0.3671137856043308,0.10816053739571596,-0.7138364853289084,0.6452932225900361,1731
0.3,0.85,25,95,False,,2.2522878618581212,0.3666647154786799,0.10798924291663559,-0.7170994792139995,0.64565618090445,1788
0.3,0.9,20,95,True,50.0,2.2520564440967195,0.36662704146325853,0.10797486410971913,-0.7197168048248646,0.6082052892891204,1839
0.4,0.65,30,95,False,,2.2483411622245066,0.3660222063559582,0.10774384355260413,-0.7048632505396863,0.6490225456553761,1036
0.4,0.9,20,100,False,,2.2478717663601278,0.3659457903240762,0.10771463224307731,-0.755309152057789,0.6857659622870323,1498
0.4,0.9,5,95,False,,2.2447944419953707,0.3654448125042568,0.10752299296327084,-0.7223511274305446,0.654729255684211,1498
0.35,0.85,30,100,True,50.0,2.2394447029048323,0.36457389338475354,0.10718929283348144,-0.7422118681911783,0.6380491962280284,1615
0.4,0.9,5,95,True,50.0,2.2366241519119208,0.36411471738650625,0.10701307511003155,-0.719501422999921,0.6151060202192293,1516
0.35,0.9,25,100,True,50.0,2.233801293208871,0.3636551657009875,0.10683651870614641,-0.7478336537532035,0.6383037085049355,1674
0.35,0.7,30,95,True,50.0,2.2190455422327013,0.3612529802055296,0.10591043147289159,-0.6875677870648212,0.606075791404348,1314
0.4,0.85,25,100,False,,2.202480870102138,0.35855630856927617,0.10486438218087768,-0.7519257871098026,0.6826446590169643,1453
0.25,0.85,30,95,True,50.0,2.190180281750675,0.3565538151027489,0.10408315072635643,-0.6967077292625323,0.5965693248602622,2040
0.4,0.7,25,95,True,50.0,2.1839191136437486,0.35553451847492074,0.10368401987219156,-0.6824863403450974,0.6080291645592563,1161
0.3,0.9,30,100,True,50.0,2.1839082922974202,0.3555327567969666,0.10368332917854128,-0.7497599806268299,0.631463427752045,1834
0.35,0.9,25,100,False,,2.18055387660944,0.35498666946298973,0.10346908275702038,-0.7541317073365359,0.677719837909392,1669
0.4,0.85,10,95,True,50.0,2.174856284287119,0.35405912103405407,0.10310451689872013,-0.7105277498670728,0.6106295847671476,1465
0.25,0.85,30,95,False,,2.165919382265362,0.35260422413008335,0.10253099629294371,-0.7121178682667483,0.6330740486841097,2057
0.35,0.85,30,100,False,,2.1639363887337715,0.35228139960513255,0.10240345858640731,-0.7516851014376236,0.6762072574706524,1624
0.4,0.85,10,95,False,,2.159341116526436,0.3515333050986605,0.10210751728628042,-0.7266065244973696,0.6492110278489476,1453
0.4,0.8,30,100,False,,2.159241316103762,0.3515170579331875,0.10210108391106876,-0.748112306122505,0.6795217710002229,1396
0.35,0.65,30,95,True,50.0,2.1566630719503053,0.3510973286548075,0.101934793977845,-0.6868417257894557,0.5995567928416388,1170
0.3,0.75,30,95,True,50.0,2.1542302403376485,0.3507012720378143,0.10177772342180358,-0.6987951534774248,0.5988539390328982,1602
0.4,0.65,25,95,True,50.0,2.154030979914406,0.350668833126416,0.10176485173426308,-0.6812653867985898,0.6036418021503875,1020
