alloc_bullish,alloc_bearish,ratio,trades,fees
98,85,1.7085249358324885,2672,5.63545365687527
100,85,1.68014238734338,803,5.516036097775204
98,90,1.4524851410484845,2661,3.322778392553734
100,90,1.428485320702085,799,3.231334234583994
98,95,1.221237893317184,2643,1.514902501277736
100,95,1.2010664970213805,791,1.4457729996891975
