start_thresh,end_thresh,equity,ratio_bh,trades,fees,time_in_btc
0.2,0.4,612027.6136076188,996.359899677285,325,1570180.843162877,35.01730103806228
0.2,0.35,203307.18648140464,330.977105317592,305,477043.09161067795,29.826989619377166
0.15,0.35,5208.433473876629,8.479150512373106,186,12779.398425460986,20.519031141868513
0.25,0.45,4364.637978084744,7.105480473892865,232,15188.19665478241,48.13148788927336
0.15,0.3,4048.06192189269,6.590105545417876,173,10308.964153930247,17.058823529411764
0.25,0.4,1070.4716091876173,1.7426909528650045,137,2768.6802941808082,41.03806228373703
