lag,correlation
0,0.811974693970165
1,-0.3286955029515498
2,-0.039958343083696654
3,-0.008352549273941851
4,-0.009198279179707464
5,0.01250878849509888
6,0.03429682021251653
7,-0.018836548377841284
8,0.003914573217700698
9,0.02018828632597431
10,-0.030226442540360696
11,0.00957682064298578
12,-0.03389139803826939
13,0.03375391859392187
14,0.024640203710102976
15,-0.0019589582036869907
16,-0.02245256581147237
17,0.006641973502963534
18,0.016824896866273323
19,-0.008243482440885986
20,0.03188631367415808
21,-0.012351274973811591
22,-0.03945526942344052
23,0.05295656490805476
24,-0.023868583518238985
25,0.011345833614003547
26,-0.005531517653191475
27,-0.011288552235802564
28,0.02198134455236884
29,0.015138162601483757
30,-0.045738352737106636
