Stratégie,Equity (EUR),Ratio vs B&H,OOS Validé,Atteint 18x
Rainbow Cheap Only (full dataset),97085.4456234471,158.05176549357262,Non,✅
Rainbow Cheap Only (OOS moyen),2.286380320877306,1.838828960340155,Oui ✅,❌
ML avec S&P (OOS validé),788.7144556166027,1.284,Oui ✅,❌
Buy & Hold,614.2635947169803,1.0,N/A,❌
