feature,correlation
sp500_above_ma7,-0.28087918118980565
sp500_momentum_7,-0.26142443268567306
sp500_dist_ma21,-0.24121226654329378
sp500_ma21_above_ma50,0.2029471747901204
sp500_above_ma21,-0.201018395068877
sp500_momentum_14,-0.13950832156976614
sp500_rsi,-0.12202081065134991
sp500_momentum_21,-0.10945420866019297
sp500_ma7_above_ma21,0.09239015260189307
sp500_dist_ma50,-0.09223508890246086
sp500_volatility_14,0.0741402014826119
sp500_above_ma50,-0.04577339788228246
sp500_ma50,-0.03601100949518154
sp500_ma21,-0.026667323809368558
sp500_ma7,-0.02375485475531643
sp500_ma14,-0.023667213827672215
