name,bands,allocations,equity,ratio,cagr,max_dd,sharpe,trades,avg_alloc
5 bandes (100→20 par -20%),"[0.2, 0.4, 0.6, 0.8]","[100, 80, 60, 40, 20]",0.5024503549522611,0.0817971892317279,-0.083254493792013,-0.8459968552574708,0.4218198651507783,294,67.33564013840831
5 bandes (100→40 par -15%),"[0.2, 0.4, 0.6, 0.8]","[100, 85, 70, 55, 40]",1.0627572549111233,0.17301322494958987,0.00771694194178929,-0.7702935367301281,0.5454190675337325,294,75.50173010380622
5 bandes (100→50 par -12.5%),"[0.2, 0.4, 0.6, 0.8]","[100, 87, 75, 62, 50]",1.4613352778986763,0.2379003558841844,0.049077347163112295,-0.7507363732863386,0.5963168207168563,294,79.35328719723184
4 bandes (100→40 par -20%),"[0.25, 0.5, 0.75]","[100, 80, 60, 40]",0.714097579590468,0.11625262928360386,-0.04163722985842688,-0.8306403343048802,0.5092961091557733,301,77.03114186851211
4 bandes (100→50 par -16%),"[0.25, 0.5, 0.75]","[100, 84, 67, 50]",1.1256164990670625,0.18324649364670378,0.015057137615764438,-0.7880117373612927,0.5776986127036589,301,81.18996539792387
3 bandes (100→60 par -20%),"[0.33, 0.67]","[100, 80, 60]",2.1981111508366675,0.3578449333057814,0.10458729138601375,-0.7629365892300128,0.6751896041203748,143,84.47750865051901
3 bandes (100→70 par -15%),"[0.33, 0.67]","[100, 85, 70]",2.9367599696237368,0.47809441986820755,0.1457520743941505,-0.7738551164026705,0.716478340956769,143,88.35813148788927
6 bandes (100→30 par -14%),"[0.17, 0.33, 0.5, 0.67, 0.83]","[100, 86, 72, 58, 44, 30]",1.0538202234409322,0.17155830697185934,0.006642720803081037,-0.7224325955826887,0.5248202106424076,352,71.51557093425606
