window,dt_ratio,rf_ratio,dt_trades,rf_trades
Window 1 (2022),1.4953355968834259,1.4542371681652686,363,361
Window 2 (2023),1.236510772652612,1.2741637138558475,360,365
Window 3 (2024-2025),1.1020315185747522,1.1222231607597912,677,691
