base,adjustment,equity,ratio_bh,trades,fees,time_in_btc
0.2,0.05,59572.11451232609,96.9813529967924,254,156380.0834006174,32.38754325259516
0.2,0.06,30279.60690548517,49.294158348154085,213,71731.50867235723,35.778546712802765
0.22,0.05,4665.358029205157,7.595042371597334,159,10985.477409113302,36.608996539792386
0.22,0.06,4588.797311520758,7.470404157086714,171,11636.981087564693,39.653979238754324
0.25,0.05,1155.3006340700745,1.8807896870436789,150,3136.906435970533,41.34948096885813
0.25,0.04,577.8029994380515,0.9406434052212913,129,1426.8669338779032,38.477508650519034
