feature,importance
rainbow_ma21,0.2879038641411075
fng_ma21,0.22976405882754702
rainbow_velocity_14,0.15711736750702354
fng_ma14,0.09040461667487355
rainbow_above_ma,0.04372048637668758
price_volatility_14,0.039148953842031646
rainbow_ma7,0.032939500326998744
rainbow_velocity_7,0.027321948928906145
rainbow_ma14,0.026308625317816164
fng_ma7,0.025547105445460044
rainbow_position,0.017258508399351287
fng_x_rainbow,0.015059893118438078
fng,0.003314450165611317
fng_velocity_14,0.0026446077727512655
fng_velocity_7,0.001527503775487431
fng_rainbow_concordance,1.8509379908609768e-05
fng_above_ma,0.0
