window,best_threshold_train,train_equity,train_ratio,test_equity,test_ratio,test_trades,test_fees
Train 2018-2021 → Test 2022,0.25,15987.227897665656,5008.189658434496,1.2287629523360735,3.234046822458827,16,1.7141633414336268
Train 2018-2022 → Test 2023,0.22,20744.803783898424,18410.476075484647,4.630378010295844,1.8041871973204573,32,6.9032173135126955
Train 2018-2023 → Test 2024-2025,0.22,97085.4456234471,33291.225837286736,1.0,0.47825286124118094,0,0.0
