strategy,config,ratio,equity,trades,avg_alloc
Gradient,"{'fng_low': 20, 'fng_high': 80, 'alloc_low': 100, 'alloc_high': 90, 'use_rainbow': False}",0.8692011061047474,5.339185959678761,2228,92.21914648212227
Gradient,"{'fng_low': 20, 'fng_high': 80, 'alloc_low': 100, 'alloc_high': 95, 'use_rainbow': False}",0.9427079609464734,5.790711808592938,2228,96.10957324106113
Gradient,"{'fng_low': 25, 'fng_high': 75, 'alloc_low': 100, 'alloc_high': 95, 'use_rainbow': False}",0.9491523832470774,5.830297548675372,1998,96.00190311418685
Gradient,"{'fng_low': 20, 'fng_high': 80, 'alloc_low': 100, 'alloc_high': 95, 'use_rainbow': True}",0.9758928717534938,5.994554634619766,2000,95.76058246828141
Gradient,"{'fng_low': 25, 'fng_high': 75, 'alloc_low': 100, 'alloc_high': 97, 'use_rainbow': True}",1.0057366866104713,6.177874324560915,1493,97.3699446366782
Velocity,"w=5,t=10,a=96",1.0893010919165882,6.691180044498134,1424,97.98269896193771
Velocity,"w=5,t=10,a=97",1.0635854490336365,6.533218212120735,1424,98.43840830449827
Velocity,"w=5,t=10,a=98",1.0376376741116995,6.373830477136174,1424,98.89411764705882
Velocity,"w=5,t=15,a=96",1.0706018903076042,6.5763176565114145,1124,98.75709342560553
Velocity,"w=5,t=15,a=97",1.0499792319750698,6.449640174111788,1124,99.03840830449828
Velocity,"w=5,t=15,a=98",1.0291458833979459,6.321668498242028,1124,99.319723183391
Velocity,"w=7,t=10,a=96",1.2785246182078025,7.853511279144774,1382,97.93148788927336
Velocity,"w=7,t=10,a=97",1.2102259213532733,7.433977248701291,1382,98.3968858131488
Velocity,"w=7,t=10,a=98",1.1445836979066668,7.030760967306015,1382,98.86228373702421
Velocity,"w=7,t=15,a=96",1.241114091786992,7.623712034749759,1135,98.72179930795849
Velocity,"w=7,t=15,a=97",1.1835413826672105,7.27006384213464,1135,99.00934256055362
Velocity,"w=7,t=15,a=98",1.12790368503248,6.92830172062578,1135,99.29688581314879
Velocity,"w=7,t=20,a=96",1.1021175098178402,6.769906633812315,787,99.25743944636677
Velocity,"w=7,t=20,a=97",1.079130958701447,6.628708618623303,787,99.4235294117647
Velocity,"w=7,t=20,a=98",1.0563217495796575,6.488599950745285,787,99.58961937716265
Velocity,"w=10,t=10,a=96",1.1026741710155747,6.7733260008959135,1394,97.9024221453287
Velocity,"w=10,t=10,a=97",1.0753287152492368,6.605352821313866,1394,98.3712802768166
Velocity,"w=10,t=10,a=98",1.0478007610425244,6.43625862025167,1394,98.8401384083045
Velocity,"w=10,t=15,a=96",0.9935022887639152,6.102722872556683,1142,98.74671280276817
Velocity,"w=10,t=15,a=97",0.9951003277763605,6.112539044439509,1142,99.02664359861592
Velocity,"w=10,t=15,a=98",0.9962875293656246,6.11983159159826,1142,99.30657439446367
Velocity,"w=10,t=20,a=96",0.9921406765133373,6.094358984200176,783,99.23944636678199
Velocity,"w=10,t=20,a=97",0.9931465292633961,6.100537571460247,783,99.40865051903114
Velocity,"w=10,t=20,a=98",0.9938788619365828,6.105036024463851,783,99.57785467128029
Velocity,"w=14,t=10,a=96",1.1545093334775522,7.091730533162243,1368,97.94602076124566
Velocity,"w=14,t=10,a=97",1.1136882718044885,6.840981612327647,1368,98.40865051903116
Velocity,"w=14,t=10,a=98",1.0734535567094796,6.59383440506091,1368,98.8712802768166
Velocity,"w=14,t=15,a=96",1.1747962757079844,7.216345833765052,1118,98.6948096885813
Velocity,"w=14,t=15,a=97",1.127411266468836,6.925276972655687,1118,98.98823529411766
Velocity,"w=14,t=15,a=98",1.0812704387466374,6.641850665657142,1118,99.28166089965399
Velocity,"w=14,t=20,a=96",1.13061923930489,6.944982381915977,709,99.27820069204152
Velocity,"w=14,t=20,a=97",1.0972102594887934,6.7397631815393515,709,99.43910034602077
Velocity,"w=14,t=20,a=98",1.0643254160794193,6.537763560295881,709,99.60000000000002
Extremes,"fear<15,greed>75",0.6913604634607575,4.246775635306013,668,97.40899653979238
Extremes,"fear<15,greed>80",0.5790359359144529,3.5568069546512193,648,97.83010380622838
Extremes,"fear<15,greed>85",0.6017385084000186,3.696260592494283,584,98.23771626297577
Extremes,"fear<20,greed>75",0.692090325679497,4.251258913207323,670,97.41003460207612
Extremes,"fear<20,greed>80",0.5796472182704061,3.560561839624768,650,97.8311418685121
Extremes,"fear<20,greed>85",0.6023737576311405,3.7001626972567845,586,98.23875432525952
Extremes,"fear<25,greed>75",0.691197717265415,4.245775944676237,672,97.41107266435985
Extremes,"fear<25,greed>80",0.578899630903511,3.555969682591228,652,97.83217993079585
Extremes,"fear<25,greed>85",0.6015968592054101,3.695390493059593,588,98.23979238754326
