window,best_param,train_ratio,test_equity,test_ratio,test_trades
Train 2018-2021 → Test 2022,"(0.2, 0.35)",14164.42833335747,1.068153776991993,2.8113309583519537,12
Train 2018-2022 → Test 2023,"(0.2, 0.35)",42862.845089126786,3.888724434211007,1.515208223283367,34
Train 2018-2023 → Test 2024-2025,"(0.2, 0.35)",65093.31297155342,1.0710062691276736,0.5122118126175522,3
