buy_threshold,sell_threshold,alloc_min,alloc_max,decay_rate,equity,ratio,cagr,max_dd,sharpe,trades
0.35,0.85,20,100,1.0,1.778149730308616,0.2894766588158129,0.07540089701757391,-0.7437721534860313,0.6505226409561169,1624
0.35,0.8,20,100,1.0,1.5552512788301704,0.25318955774137175,0.057362605256701116,-0.7356271238693843,0.6324944933893103,1567
0.3,0.85,20,100,1.0,1.549917855182949,0.25232129471991127,0.05690396095116124,-0.7405168022817508,0.6268618031365731,1788
0.35,0.85,10,100,1.0,1.4438420784843446,0.23505252320049888,0.04748292201864723,-0.743180616355764,0.6237089431316831,1624
0.35,0.85,20,100,0.98,1.394073403353861,0.22695035410590775,0.04285259715534773,-0.7394303956839182,0.619089754737579,1566
0.35,0.75,20,100,1.0,1.3763807215069161,0.2240700463684621,0.041171679997276556,-0.7333843281569472,0.6153074621200245,1459
0.3,0.8,20,100,1.0,1.3489207739836675,0.21959966138074347,0.03852504140677193,-0.7337964246801482,0.6075389102435667,1731
0.25,0.85,20,100,1.0,1.3023461616396643,0.21201747471941895,0.03392650987615342,-0.7246275183099378,0.5926806838781477,2057
0.35,0.8,10,100,1.0,1.2303919394666323,0.20030357489011444,0.026531482218565605,-0.7542012182642696,0.6025333174199194,1567
0.3,0.85,10,100,1.0,1.229306906871014,0.20012693531633044,0.026417106464409423,-0.7361788862346647,0.5959752782977131,1788
0.3,0.85,20,100,0.98,1.224537276770381,0.1993504559446642,0.025913280490888146,-0.740055544865315,0.5949881412448513,1730
0.35,0.7,20,100,1.0,1.2061646756794857,0.19635945969339513,0.023956381792021864,-0.7263877870381785,0.5965953094365088,1335
0.35,0.8,20,100,0.98,1.2045843409666523,0.1961021866388913,0.023786843555233972,-0.7312338699876839,0.5990708245154419,1468
0.3,0.75,20,100,1.0,1.1846919312170758,0.19286377076650968,0.021635998999283812,-0.7223331488852824,0.5886887557713961,1623
0.35,0.85,0,100,1.0,1.1584779573849255,0.1885962260092417,0.018752930940883816,-0.7641091787018095,0.5958088551206233,1623
0.25,0.8,20,100,1.0,1.1241860549443772,0.18301362226461504,0.01489413026710018,-0.7159185067061564,0.571012029330726,2000
0.35,0.85,10,100,0.98,1.0874302954199304,0.17702991106301244,0.010642162028146274,-0.7522782920327711,0.5872208550115586,1566
0.35,0.75,10,100,1.0,1.0612768925284177,0.1727722270465011,0.007539550784839255,-0.759041942601627,0.5822153905459541,1459
0.3,0.8,20,100,0.98,1.0567471357392675,0.17203479822472023,0.006995405985292136,-0.732835186259505,0.5740083849071275,1632
0.35,0.75,20,100,0.98,1.0423082804591979,0.1696842022583872,0.005247206599752863,-0.7256471085347158,0.5786763173965818,1371
0.3,0.8,10,100,1.0,1.0413709965828062,0.16953161566780087,0.005132994130083057,-0.737138187877993,0.5732101488482709,1731
0.25,0.85,20,100,0.98,1.0298607427103574,0.16765778593550945,0.0037230417483831157,-0.7156187321338106,0.5593530046387484,1999
0.3,0.7,20,100,1.0,1.0292328440785248,0.16755556619837494,0.00364573175257088,-0.7110885775163235,0.5680532357279282,1499
0.35,0.85,20,100,0.96,1.015980475397106,0.16539812616849253,0.002004344469056507,-0.7387776402736128,0.5779770611266764,1476
0.25,0.85,10,100,1.0,1.0031614987987643,0.16331124087875823,0.00039873926635358714,-0.7141252829541219,0.5558670852924865,2057
0.25,0.75,20,100,1.0,0.9763882776662548,0.15895265258494193,-0.0030133246246301093,-0.7084499169736808,0.5492903215253019,1892
0.3,0.85,0,100,1.0,0.9620914343286378,0.1566251756742837,-0.004868977174638189,-0.7488008700764263,0.5637491799706081,1787
0.35,0.8,0,100,1.0,0.9598344790431395,0.1562577511182935,-0.005164116706919519,-0.7776774172393149,0.5713318600323478,1566
0.35,0.7,20,100,0.98,0.9523073606598295,0.15503236214065463,-0.006152832436867373,-0.7145256795223524,0.5639287398890385,1223
0.3,0.85,10,100,0.98,0.9329572886302894,0.151882236983318,-0.008726232225693575,-0.7357114263861189,0.5587692645074102,1730
0.3,0.85,20,100,0.96,0.9148132480839303,0.14892844960239415,-0.011181959055170831,-0.7394969962106384,0.5551812881710672,1640
0.3,0.75,20,100,0.98,0.9132471688878793,0.14867349729697998,-0.01139591171586074,-0.7208965202811632,0.5525784336525045,1535
0.35,0.8,10,100,0.98,0.9129214396572181,0.1486204696988181,-0.011440452053105954,-0.7568244637828249,0.5636661913863144,1468
0.35,0.7,10,100,1.0,0.9046763160907068,0.14727819194747094,-0.012572543288342897,-0.7603202918591447,0.5600913034736325,1335
0.3,0.75,10,100,1.0,0.8902340396484385,0.14492703902770163,-0.014577436317731562,-0.740144463997598,0.5508721799782574,1623
0.25,0.8,20,100,0.98,0.8831908711645512,0.14378043542878047,-0.015565505273943181,-0.706804991577757,0.536138915220714,1901
0.35,0.8,20,100,0.96,0.8422630921691271,0.13711753381008995,-0.021447267543954762,-0.7299410630081327,0.552384539135614,1384
0.25,0.8,10,100,1.0,0.8415566007353071,0.13700251943517075,-0.02155097203849532,-0.7385588526463978,0.5302408701563622,2000
0.25,0.7,20,100,1.0,0.8374109533223716,0.1363276222984056,-0.022161040729578585,-0.7204930427875726,0.5252654593115382,1768
0.35,0.85,0,100,0.98,0.8363426997248075,0.1361537142877809,-0.022318671221880138,-0.775997567633401,0.5540726886902368,1565
0.35,0.75,20,100,0.92,0.8352907490662217,0.13598246033953568,-0.022474068066708597,-0.7108038708017029,0.5306785497653679,536
0.3,0.7,20,100,0.98,0.8273510083017788,0.13468989785777227,-0.02365249412748449,-0.7103671533155883,0.5360092042332528,1387
