window,rainbow_thresh,fng_thresh,alloc_all_bull,alloc_2_bull,alloc_1_bull,alloc_all_bear,train_equity,train_ratio,test_equity,test_ratio,test_trades,test_fees,test_sharpe
Train 2018-2021 → Test 2022,0.5,40.0,100.0,96.0,90.0,85.0,4.662170116619981,1.4604803480237996,0.4538884004669142,1.1946131159718312,356,0.27900161096753023,-0.4603052333232442
Train 2018-2022 → Test 2023,0.5,40.0,100.0,96.0,90.0,85.0,1.9917478459730988,1.7676246277705145,2.5602058652119632,0.99756232304348,359,0.21558950602236518,1.36435077509726
Train 2018-2023 → Test 2024-2025,0.5,60.0,100.0,96.0,90.0,85.0,5.159752192512939,1.7693123248527214,2.3167719559701956,1.1080028167860734,620,3.427938654351934,0.9378982511506105
