Stratégie,Equity (EUR),Ratio vs B&H,Trades,Fees (EUR),vs 18x
Buy & Hold Cheap Only (meilleur),64775.00505694931,105.45147981103155,252.0,158746.1395713498,✅
Buy & Hold,614.2635947169803,1.0,0.0,0.0,❌
Rainbow Zones Switch (meilleur),20.033597241547817,0.03261400710354359,606.0,2.3531458085513353,❌
Rainbow Multi-Zones (meilleur),18.114959182731926,0.029490530349724417,2149.0,17.19634865550036,❌
