strategy,equity,ratio,improvement_pct,cagr,sharpe,max_dd,trades,total_fees,avg_alloc
FNG+Rainbow Hybrid Paliers,7.25955669702123,1.1818308555899435,18.18308555899435,28.449039339954552,0.8317022755764335,-79.9192455830194,2165,3.6389080289158606,98.46545446015521
"Rainbow Bands (0.60, 95%)",7.096534353116189,1.1552913788397134,15.529137883971345,28.081111426313576,0.8319091580422712,-80.09663369822555,658,0.6499962470406279,98.86940080944966
Champion (FNG Vel + Rainbow Accel),6.916632582870854,1.1260039895507186,12.600398955071856,27.666416151082874,0.809698137046565,-78.55800093219732,2715,22.182755935796333,95.46442140909295
FNG Vélocité,6.172084216514488,1.004794076939926,0.4794076939925951,25.843163508302112,0.8113756238121049,-80.03737363275344,2151,15.855579561015933,97.93435626305332
FNG+Rainbow Vélocité,5.995142869892047,0.9759886344321428,-2.4011365567857212,25.381712598506212,0.809631336138727,-80.23480591661863,2138,14.068181406619868,98.10407787575434
